topic,rank,keyword,prob
4,0,formulation,0.034245472
4,1,table,0.025302585
4,2,release,0.02246694
4,3,concentration,0.020025877
4,4,sample,0.015820162
4,5,time,0.015098278
4,6,example,0.014770249
4,7,plasma,0.012002813
4,8,stability,0.01198676
4,9,show,0.011561896
4,10,result,0.010451026
4,11,test,0.009357829
4,12,drug,0.008478414
4,13,particle,0.007604179
4,14,mean,0.006728072
4,15,profile,0.00663691
4,16,hour,0.0062781214
4,17,dose,0.00620784
4,18,study,0.0059780157
4,19,rate,0.005863136
5,0,patent,0.061015107
5,1,document,0.056937486
5,2,literature,0.026422441
5,3,will,0.02302797
5,4,non-patent,0.016391097
5,5,publication,0.016014718
5,6,japanese,0.014677965
5,7,cyclosporin,0.008840059
5,8,example,0.0077478862
5,9,non,0.007347909
5,10,cpt,0.0072223055
5,11,compound,0.006474434
5,12,medium,0.006406184
5,13,obtain,0.0058874264
5,14,acid,0.0057910294
5,15,water,0.005275406
5,16,describe,0.005177098
5,17,lay,0.004823694
5,18,art,0.004277163
5,19,form,0.0040894067
6,0,mmol,0.08441764
6,1,mixture,0.03680623
6,2,reaction,0.022732846
6,3,stir,0.021951402
6,4,add,0.018804256
6,5,purify,0.017953493
6,6,compound,0.016695162
6,7,solution,0.016684223
6,8,nmr,0.01652586
6,9,concentrate,0.01514951
6,10,etoac,0.015084654
6,11,mhz,0.014407793
6,12,chromatography,0.012884937
6,13,step,0.011619073
6,14,residue,0.0115016885
6,15,dcm,0.011258004
6,16,meoh,0.011085575
6,17,dry,0.010954325
6,18,filter,0.010951139
6,19,solid,0.010619392
7,0,group,0.08204101
7,1,atom,0.02831387
7,2,alkyl,0.023414277
7,3,carbon,0.023282638
7,4,include,0.017348615
7,5,compound,0.017300667
7,6,ring,0.015644265
7,7,formula,0.013969883
7,8,example,0.012649401
7,9,represent,0.012412407
7,10,term,0.012298777
7,11,have,0.0120511325
7,12,refer,0.010184803
7,13,substituent,0.009320903
7,14,chain,0.00905148
7,15,substitute,0.008981824
7,16,hydrogen,0.008529903
7,17,bond,0.008427937
7,18,preferably,0.008013428
7,19,contain,0.007989455
8,0,mouse,0.04735524
8,1,group,0.026585363
8,2,day,0.02437742
8,3,animal,0.020787677
8,4,control,0.016109772
8,5,rat,0.014315219
8,6,dose,0.012092855
8,7,show,0.011532319
8,8,treat,0.010636591
8,9,test,0.01030705
8,10,effect,0.008798832
8,11,example,0.008797796
8,12,result,0.00826466
8,13,week,0.008219523
8,14,treatment,0.007997769
8,15,injection,0.0077150315
8,16,model,0.007656587
8,17,level,0.0074253837
8,18,weight,0.007401424
8,19,administration,0.0070021474
9,0,seq,0.039925832
9,1,sequence,0.03414258
9,2,dna,0.019882668
9,3,pcr,0.01686301
9,4,primer,0.015207242
9,5,clone,0.01341452
9,6,cdna,0.012957491
9,7,fragment,0.011742122
9,8,gene,0.010153935
9,9,site,0.009749046
9,10,expression,0.008594706
9,11,plasmid,0.008508819
9,12,human,0.00845965
9,13,contain,0.008425463
9,14,example,0.0075100134
9,15,vector,0.0070635905
9,16,follow,0.0062145027
9,17,region,0.0060980944
9,18,nucleotide,0.0060691983
9,19,protein,0.006034993
10,0,cell,0.014555176
10,1,mmol,0.012158638
10,2,example,0.011344427
10,3,mixture,0.008415025
10,4,product,0.008274934
10,5,solution,0.00744533
10,6,invention,0.0073811985
10,7,add,0.0067440653
10,8,acid,0.006715762
10,9,reaction,0.006592926
10,10,method,0.0061334223
10,11,water,0.005676987
10,12,stir,0.0052008675
10,13,ceftolozane,0.0050767655
10,14,dry,0.004446745
10,15,nmr,0.0043638456
10,16,compound,0.0041941046
10,17,describe,0.004061382
10,18,present,0.004004174
10,19,embodiment,0.0039915084
11,0,substitute,0.075983636
11,1,alkyl,0.045239456
11,2,select,0.04338771
11,3,optionally,0.04282858
11,4,formula,0.035752878
11,5,independently,0.032537386
11,6,compound,0.027178923
11,7,group,0.027001927
11,8,hydrogen,0.022402262
11,9,aryl,0.021857174
11,10,consist,0.017458893
11,11,heteroaryl,0.017255226
11,12,unsubstituted,0.01719807
11,13,embodiment,0.014240001
11,14,cycloalkyl,0.014213259
11,15,halogen,0.01374466
11,16,ring,0.012170284
11,17,invention,0.011300415
11,18,substituent,0.009955213
11,19,alkoxy,0.0092468485
12,0,invention,0.03313488
12,1,term,0.030909305
12,2,example,0.021580035
12,3,include,0.020852065
12,4,describe,0.02042091
12,5,refer,0.019382458
12,6,present,0.018605383
12,7,art,0.018134652
12,8,embodiment,0.016033122
12,9,limit,0.015507074
12,10,scope,0.014808961
12,11,understand,0.01360416
12,12,intend,0.012778559
12,13,reference,0.012462293
12,14,claim,0.012384438
12,15,mean,0.011315097
12,16,description,0.01119002
12,17,skilled,0.010810855
12,18,follow,0.010218807
12,19,modification,0.008429146
13,0,peptide,0.13180465
13,1,resin,0.033616964
13,2,synthesis,0.019920269
13,3,protect,0.018394655
13,4,acid,0.01638963
13,5,group,0.011149499
13,6,dmf,0.0107104955
13,7,amino,0.009315947
13,8,couple,0.008753197
13,9,coupling,0.007985002
13,10,synthesize,0.0073638456
13,11,follow,0.0068110833
13,12,example,0.0065854345
13,13,reaction,0.006582433
13,14,phase,0.0062121246
13,15,wash,0.0058183814
13,16,tfa,0.005248145
13,17,solid,0.0051839314
13,18,boc,0.0049446695
13,19,remove,0.004918711
14,0,cell,0.09071988
14,1,tissue,0.026462112
14,2,stem,0.015544936
14,3,bone,0.00930582
14,4,growth,0.008395531
14,5,collagen,0.007243534
14,6,factor,0.0071147117
14,7,human,0.0062539806
14,8,derive,0.006058751
14,9,differentiation,0.0056475005
14,10,wound,0.005274151
14,11,culture,0.0052028657
14,12,marrow,0.0050699594
14,13,include,0.0046267314
14,14,population,0.0045237886
14,15,method,0.0045130383
14,16,endothelial,0.0044977968
14,17,present,0.0042036236
14,18,matrix,0.0041938587
14,19,blood,0.0040513077
15,0,example,0.11352328
15,1,comparative,0.04385173
15,2,table,0.03001643
15,3,gum,0.017761314
15,4,composition,0.014339324
15,5,result,0.012260618
15,6,test,0.011634086
15,7,show,0.010848578
15,8,product,0.008367693
15,9,evaluation,0.007801353
15,10,testosterone,0.007200456
15,11,taste,0.006762646
15,12,prepare,0.006612684
15,13,chew,0.006142033
15,14,accord,0.0060528577
15,15,obtain,0.0058102394
15,16,method,0.00494603
15,17,solution,0.0049391408
15,18,acid,0.004694091
15,19,weight,0.0045248023
16,0,rna,0.037940964
16,1,sirna,0.02818322
16,2,target,0.025873072
16,3,oligonucleotide,0.02349413
16,4,strand,0.02203184
16,5,mrna,0.020149946
16,6,antisense,0.019127123
16,7,nucleotide,0.015521765
16,8,gene,0.014023816
16,9,sequence,0.012515134
16,10,expression,0.0101245595
16,11,cell,0.008688225
16,12,base,0.0075189127
16,13,sense,0.0073998473
16,14,example,0.0071945162
16,15,nucleic,0.007128265
16,16,rnai,0.0063561695
16,17,mirna,0.006182174
16,18,modify,0.005994435
16,19,complementary,0.0059887017
17,0,acid,0.025306769
17,1,example,0.023426378
17,2,solution,0.016523523
17,3,chloride,0.01620779
17,4,obtain,0.015789734
17,5,mixture,0.0149316825
17,6,sodium,0.014303487
17,7,product,0.013984313
17,8,reaction,0.013088041
17,9,water,0.011990181
17,10,salt,0.010818928
17,11,methanol,0.010775863
17,12,ether,0.010478227
17,13,solvent,0.010273772
17,14,hour,0.010167948
17,15,ethanol,0.00961468
17,16,mole,0.009049713
17,17,yield,0.008788863
17,18,add,0.0084668705
17,19,compound,0.0084116785
18,0,dose,0.04586162
18,1,day,0.036785994
18,2,week,0.02267743
18,3,study,0.021941427
18,4,subject,0.017962217
18,5,hour,0.015580108
18,6,administer,0.014161322
18,7,administration,0.01330013
18,8,treatment,0.012920957
18,9,example,0.012651604
18,10,blood,0.012297889
18,11,period,0.010460586
18,12,patient,0.010227998
18,13,time,0.010101699
18,14,level,0.009754041
18,15,follow,0.009686657
18,16,injection,0.009194028
18,17,table,0.0075855134
18,18,receive,0.007401148
18,19,daily,0.007384773
19,0,test,0.017439734
19,1,sample,0.013935082
19,2,example,0.010455361
19,3,culture,0.008650975
19,4,concentration,0.007929594
19,5,medium,0.0077711074
19,6,tube,0.0075850217
19,7,place,0.007281417
19,8,plate,0.007005826
19,9,solution,0.006902858
19,10,control,0.0066450667
19,11,time,0.0064325253
19,12,strain,0.0063650766
19,13,hour,0.006312711
19,14,minute,0.0060502593
19,15,table,0.0054503023
19,16,day,0.0053881654
19,17,growth,0.0052701905
19,18,contain,0.005221454
19,19,agar,0.004864168
20,0,mixture,0.037747726
20,1,solution,0.032514498
20,2,mmol,0.03163435
20,3,add,0.030662159
20,4,stir,0.027770419
20,5,reaction,0.0223554
20,6,dry,0.021646721
20,7,ethyl,0.01958324
20,8,wash,0.01616347
20,9,water,0.015717264
20,10,temperature,0.014935214
20,11,acetate,0.014232243
20,12,room,0.01392135
20,13,acid,0.013699321
20,14,organic,0.01349689
20,15,extract,0.013098201
20,16,sodium,0.013066251
20,17,concentrate,0.012588261
20,18,residue,0.01226118
20,19,layer,0.011947207
21,0,cell,0.015770167
21,1,cancer,0.0129259
21,2,nature,0.007356744
21,3,science,0.007226421
21,4,imaging,0.0068478324
21,5,growth,0.006228
21,6,vegf,0.006175381
21,7,journal,0.006172372
21,8,biol,0.005750076
21,9,usa,0.005331421
21,10,reference,0.0052669416
21,11,sci,0.00504993
21,12,human,0.0048132436
21,13,angiogenesis,0.0047092782
21,14,clin,0.004637307
21,15,kinase,0.004603711
21,16,tumor,0.0045586466
21,17,chem,0.004417873
21,18,new,0.0043669776
21,19,factor,0.0043559936
22,0,view,0.021393752
22,1,container,0.015952751
22,2,embodiment,0.013031959
22,3,kit,0.011430543
22,4,mir,0.009726114
22,5,syringe,0.008867771
22,6,device,0.008649546
22,7,system,0.008547693
22,8,include,0.008233641
22,9,needle,0.008029737
22,10,show,0.007671352
22,11,illustrate,0.0076522017
22,12,cap,0.0065814597
22,13,end,0.0065029482
22,14,invention,0.0064924066
22,15,example,0.0056240237
22,16,contain,0.0053096716
22,17,electrode,0.005106193
22,18,process,0.00508189
22,19,position,0.004961807
23,0,disease,0.028759532
23,1,invention,0.019560212
23,2,inflammatory,0.012127148
23,3,blood,0.009852396
23,4,factor,0.009145285
23,5,treatment,0.00863883
23,6,relate,0.00861488
23,7,inflammation,0.007689887
23,8,present,0.0074243457
23,9,include,0.0061779087
23,10,condition,0.005403414
23,11,cause,0.005377377
23,12,injury,0.0053459583
23,13,associate,0.00524685
23,14,vascular,0.0052338624
23,15,field,0.0051831626
23,16,chronic,0.0051767156
23,17,induce,0.0051146206
23,18,treat,0.0050720163
23,19,disorder,0.0050621573
24,0,bone,0.08262809
24,1,cat,0.017781213
24,2,rapamycin,0.017208314
24,3,tau,0.016346812
24,4,pei,0.010422632
24,5,osteoclast,0.008970876
24,6,metformin,0.008364219
24,7,calcium,0.0080880765
24,8,example,0.007502682
24,9,result,0.007480527
24,10,fracture,0.0068949917
24,11,mineral,0.0068202764
24,12,csa,0.006543237
24,13,solution,0.0063758222
24,14,increase,0.0061197584
24,15,osteoporosis,0.005976163
24,16,treatment,0.0059525417
24,17,resorption,0.0058576018
24,18,pth,0.005752729
24,19,meq,0.005561183
25,0,patient,0.017201358
25,1,eye,0.01476199
25,2,blood,0.007078431
25,3,heart,0.0066211256
25,4,pressure,0.006541735
25,5,treatment,0.0058778254
25,6,example,0.005353572
25,7,artery,0.005206227
25,8,implant,0.0051788012
25,9,time,0.0048099803
25,10,ocular,0.004761859
25,11,day,0.004751583
25,12,area,0.004407934
25,13,study,0.004191494
25,14,surgery,0.003931225
25,15,vessel,0.0038046367
25,16,increase,0.0037030964
25,17,retinal,0.0036575475
25,18,treat,0.0036119884
25,19,result,0.0035738868
26,0,form,0.051217653
26,1,crystal,0.031405862
26,2,solvent,0.025228003
26,3,water,0.02450097
26,4,crystalline,0.017151196
26,5,example,0.015276491
26,6,obtain,0.015017958
26,7,solid,0.01490643
26,8,ethanol,0.014493065
26,9,solution,0.012667261
26,10,temperature,0.012089386
26,11,amorphous,0.010803442
26,12,solubility,0.010154396
26,13,dry,0.008062023
26,14,dissolve,0.007844717
26,15,mixture,0.0069041206
26,16,result,0.006737112
26,17,powder,0.0063006394
26,18,add,0.006180222
26,19,table,0.0061575663
27,0,protein,0.047306195
27,1,cell,0.025137369
27,2,bind,0.013724089
27,3,receptor,0.011888986
27,4,domain,0.009182544
27,5,molecule,0.008124546
27,6,kinase,0.00775132
27,7,signal,0.0075022755
27,8,target,0.0071912287
27,9,activity,0.006594247
27,10,invention,0.006263013
27,11,fusion,0.0059351167
27,12,expression,0.005900122
27,13,gene,0.005747093
27,14,include,0.005675171
27,15,peptide,0.0056613763
27,16,present,0.0055867257
27,17,ligand,0.005514591
27,18,activation,0.0053397077
27,19,express,0.005176504
28,0,solution,0.018606545
28,1,weight,0.017519461
28,2,dry,0.017336942
28,3,water,0.016669024
28,4,example,0.014663838
28,5,temperature,0.0135613
28,6,powder,0.011697168
28,7,add,0.010627933
28,8,part,0.010178257
28,9,obtain,0.007740836
28,10,minute,0.007489029
28,11,mixture,0.007359197
28,12,mix,0.0069768853
28,13,spray,0.006693834
28,14,content,0.0063610575
28,15,particle,0.0062785265
28,16,gram,0.006131484
28,17,contain,0.0058071353
28,18,liquid,0.005758864
28,19,product,0.0056230705
29,0,tablet,0.04831158
29,1,coating,0.017821386
29,2,example,0.017554691
29,3,cellulose,0.014860362
29,4,coat,0.013376756
29,5,granule,0.011335397
29,6,release,0.010554113
29,7,blend,0.010135939
29,8,magnesium,0.009479682
29,9,core,0.008937649
29,10,stearate,0.008622115
29,11,dry,0.008146683
29,12,weight,0.007798626
29,13,table,0.0069549186
29,14,sodium,0.006853862
29,15,prepare,0.006767859
29,16,water,0.006466843
29,17,ingredient,0.006371572
29,18,granulation,0.006184437
29,19,layer,0.006103575
30,0,mol,0.05755739
30,1,mixture,0.02156888
30,2,add,0.010076731
30,3,cocoa,0.009587883
30,4,solution,0.009306307
30,5,example,0.0091365045
30,6,chocolate,0.0071249977
30,7,dry,0.006161203
30,8,temperature,0.0057414435
30,9,abt,0.0054653715
30,10,imatinib,0.0052864165
30,11,abx,0.0051514073
30,12,stir,0.004877034
30,13,carbonic,0.0048013562
30,14,result,0.004713768
30,15,preparation,0.0045995167
30,16,nanocrystal,0.0045222375
30,17,hsp,0.004494098
30,18,dough,0.004466684
30,19,product,0.004289195
31,0,agent,0.022578744
31,1,invention,0.019586286
31,2,skin,0.019220054
31,3,composition,0.015407153
31,4,present,0.012854832
31,5,drug,0.011789534
31,6,active,0.010711197
31,7,use,0.0096321525
31,8,include,0.008223745
31,9,provide,0.007849917
31,10,effect,0.007600632
31,11,form,0.0072739525
31,12,administration,0.0060081636
31,13,method,0.005920962
31,14,formulation,0.0058649466
31,15,therapeutic,0.005593432
31,16,pharmaceutical,0.0052695996
31,17,effective,0.0052692587
31,18,application,0.00496319
31,19,oral,0.0049263523
32,0,mass,0.017900938
32,1,chemical,0.015023862
32,2,ppm,0.011858356
32,3,spectra,0.011055114
32,4,magnetic,0.010619608
32,5,nmr,0.009370612
32,6,spectrum,0.009153809
32,7,resonance,0.008200427
32,8,perform,0.007824726
32,9,solvent,0.007693245
32,10,water,0.0075293533
32,11,chromatography,0.0075244443
32,12,proton,0.0073120915
32,13,doublet,0.0070320424
32,14,singlet,0.006268096
32,15,purchase,0.0060149864
32,16,nuclear,0.005841539
32,17,system,0.0058328724
32,18,follow,0.0058231796
32,19,shift,0.005619454
33,0,extract,0.05481052
33,1,acid,0.021238983
33,2,plant,0.01746527
33,3,lipid,0.01583642
33,4,cholesterol,0.0150330225
33,5,fatty,0.01298335
33,6,vitamin,0.012383193
33,7,composition,0.008390846
33,8,effect,0.0073323525
33,9,activity,0.006721034
33,10,include,0.0063567497
33,11,contain,0.006032712
33,12,ldl,0.004900059
33,13,root,0.0048069255
33,14,dha,0.0045991633
33,15,seed,0.0045044385
33,16,phospholipid,0.004435725
33,17,example,0.004383929
33,18,triglyceride,0.004381772
33,19,present,0.004252186
34,0,polypeptide,0.020521406
34,1,include,0.019825319
34,2,molecule,0.018755646
34,3,method,0.017031891
34,4,embodiment,0.016686238
34,5,bind,0.012315491
34,6,protein,0.012121004
34,7,invention,0.011015844
34,8,comprise,0.010637762
34,9,moiety,0.009963351
34,10,peptide,0.009325857
34,11,polynucleotide,0.008179801
34,12,nucleic,0.007959748
34,13,link,0.006933471
34,14,molecular,0.006931997
34,15,agent,0.0066056997
34,16,biological,0.006539624
34,17,example,0.006487422
34,18,term,0.006314873
34,19,describe,0.006035704
35,0,acid,0.12955974
35,1,conjugate,0.029642336
35,2,peg,0.013264867
35,3,complex,0.012438422
35,4,example,0.012159629
35,5,group,0.008855009
35,6,ester,0.008385413
35,7,polysaccharide,0.0077244593
35,8,reaction,0.0069468846
35,9,ratio,0.0067642727
35,10,derivative,0.0067163343
35,11,metal,0.006532421
35,12,salt,0.006338503
35,13,iron,0.006296303
35,14,molecular,0.0062153116
35,15,carboxylic,0.006168913
35,16,amine,0.005606385
35,17,polymer,0.0055213585
35,18,table,0.005307157
35,19,contain,0.0050287857
36,0,example,0.03149477
36,1,water,0.030795716
36,2,sodium,0.020864885
36,3,add,0.020633785
36,4,phase,0.0201209
36,5,oil,0.016145092
36,6,emulsion,0.015016772
36,7,solution,0.013953997
36,8,mixture,0.012375478
36,9,composition,0.010853246
36,10,mix,0.010600184
36,11,prepare,0.01017185
36,12,glycol,0.010006294
36,13,ingredient,0.009405032
36,14,formulation,0.008789981
36,15,table,0.008595163
36,16,alcohol,0.008021301
36,17,aqueous,0.007812927
36,18,gel,0.0077298325
36,19,acid,0.0077106697
37,0,application,0.1838067
37,1,file,0.09250191
37,2,reference,0.071525976
37,3,patent,0.055134773
37,4,incorporate,0.0486993
37,5,claim,0.034012318
37,6,provisional,0.026728699
37,7,entirety,0.02469641
37,8,pct,0.023989966
37,9,continuation,0.021904849
37,10,priority,0.020442434
37,11,benefit,0.018614803
37,12,related,0.017483156
37,13,international,0.015325974
37,14,national,0.011016531
37,15,cross-reference,0.010932725
37,16,content,0.010596401
37,17,relate,0.009083033
37,18,list,0.007983059
37,19,stage,0.007679371
38,0,cancer,0.053064287
38,1,tumor,0.052924007
38,2,cell,0.044235162
38,3,treatment,0.013334971
38,4,patient,0.010538817
38,5,breast,0.008938588
38,6,expression,0.008486473
38,7,growth,0.008385208
38,8,line,0.0074103135
38,9,lung,0.007009914
38,10,treat,0.0068898397
38,11,therapy,0.0067814263
38,12,carcinoma,0.006590992
38,13,prostate,0.0065566893
38,14,tissue,0.0062467195
38,15,target,0.0062317327
38,16,human,0.006069225
38,17,show,0.0059831245
38,18,normal,0.0058118436
38,19,level,0.005738984
39,0,patient,0.03014918
39,1,treatment,0.020460477
39,2,disease,0.019893248
39,3,subject,0.012846807
39,4,symptom,0.010626864
39,5,pain,0.008811213
39,6,include,0.008694819
39,7,treat,0.007237401
39,8,clinical,0.0067206942
39,9,year,0.0063591595
39,10,disorder,0.0055754576
39,11,study,0.005390942
39,12,administer,0.005114827
39,13,example,0.0049196915
39,14,day,0.004654007
39,15,condition,0.0046338644
39,16,chronic,0.0046001836
39,17,age,0.0045460793
39,18,therapy,0.004370106
39,19,syndrome,0.0040675695
40,0,capsule,0.021900125
40,1,active,0.021181444
40,2,ingredient,0.018930549
40,3,composition,0.018844131
40,4,example,0.01705061
40,5,formulation,0.013737893
40,6,form,0.013697268
40,7,pharmaceutical,0.013402433
40,8,contain,0.011983839
40,9,compound,0.011429439
40,10,starch,0.010960495
40,11,dosage,0.010743207
40,12,agent,0.01043623
40,13,sodium,0.009994702
40,14,administration,0.009976311
40,15,tablet,0.00957208
40,16,solution,0.009405374
40,17,include,0.009210876
40,18,suitable,0.009016345
40,19,gelatin,0.008619171
41,0,milk,0.01961943
41,1,product,0.016872719
41,2,food,0.014710348
41,3,feed,0.011815776
41,4,example,0.010623185
41,5,lactobacillus,0.009288794
41,6,protein,0.008665501
41,7,fermentation,0.007904515
41,8,contain,0.007801174
41,9,fat,0.006813128
41,10,strain,0.0067664115
41,11,carboxamide,0.0066660997
41,12,ferment,0.0064103515
41,13,produce,0.006164478
41,14,invention,0.0061000027
41,15,culture,0.0059982664
41,16,method,0.005777669
41,17,production,0.005346154
41,18,growth,0.0050142566
41,19,present,0.004701087
42,0,virus,0.037069675
42,1,gene,0.030925877
42,2,vector,0.024538448
42,3,cell,0.019498335
42,4,expression,0.019413969
42,5,dna,0.016856918
42,6,plasmid,0.0133137
42,7,viral,0.012819835
42,8,promoter,0.011519298
42,9,protein,0.010110641
42,10,strain,0.009912627
42,11,recombinant,0.009904347
42,12,contain,0.008981313
42,13,example,0.0074235746
42,14,express,0.0072785434
42,15,encode,0.0072268434
42,16,construct,0.0071800677
42,17,sequence,0.0066477475
42,18,infect,0.0059817233
42,19,infection,0.0059157093
43,0,ala,0.032945774
43,1,leu,0.032500494
43,2,gly,0.030745948
43,3,ser,0.028758416
43,4,glu,0.028136987
43,5,lys,0.02476038
43,6,arg,0.02302225
43,7,phe,0.0218701
43,8,pro,0.020406425
43,9,val,0.020299612
43,10,asp,0.019946095
43,11,thr,0.019244486
43,12,chitosan,0.017421156
43,13,ile,0.015029817
43,14,gln,0.014993293
43,15,asn,0.014621843
43,16,tyr,0.014238147
43,17,meet,0.01395182
43,18,trp,0.013471283
43,19,cys,0.011916402
44,0,cell,0.02860026
44,1,modify,0.015950335
44,2,scaffold,0.015510541
44,3,mrna,0.014417329
44,4,g-csf,0.014333494
44,5,balloon,0.010099445
44,6,show,0.009432163
44,7,example,0.008840289
44,8,human,0.007581883
44,9,activin,0.0064614215
44,10,culture,0.0063726543
44,11,hpv,0.006361009
44,12,expression,0.00610901
44,13,silk,0.005888096
44,14,stent,0.005861112
44,15,day,0.005758917
44,16,telomerase,0.005619409
44,17,protein,0.0054850294
44,18,retinoic,0.005164835
44,19,factor,0.00496958
45,0,compound,0.09386529
45,1,assay,0.033837322
45,2,activity,0.032486975
45,3,test,0.025496278
45,4,concentration,0.024289163
45,5,inhibition,0.019144619
45,6,inhibitor,0.013436931
45,7,value,0.013106138
45,8,table,0.012728201
45,9,example,0.009976172
45,10,enzyme,0.00984714
45,11,determine,0.00930912
45,12,measure,0.008457815
45,13,inhibit,0.007723693
45,14,substrate,0.007077764
45,15,inhibitory,0.007005064
45,16,effect,0.0067731347
45,17,result,0.0066503705
45,18,reaction,0.006546768
45,19,plate,0.0065332484
46,0,acid,0.0155231105
46,1,reaction,0.014467048
46,2,solution,0.012413856
46,3,t-pa,0.011145691
46,4,mod,0.009776666
46,5,mch,0.009724086
46,6,example,0.009172037
46,7,mixture,0.008191875
46,8,add,0.0065178447
46,9,selenium,0.0062751137
46,10,hour,0.006035644
46,11,temperature,0.0057096793
46,12,stir,0.0053543607
46,13,obtain,0.005287584
46,14,lox,0.0051308055
46,15,result,0.005125209
46,16,cell,0.0049769348
46,17,melphalan,0.0047257314
46,18,mmol,0.0045917667
46,19,ethylamide,0.00459166
47,0,composition,0.023623982
47,1,oil,0.023462731
47,2,weight,0.017981868
47,3,preferably,0.015541065
47,4,invention,0.014951063
47,5,polymer,0.014547171
47,6,include,0.01099804
47,7,present,0.010150778
47,8,water,0.009209588
47,9,acid,0.008338702
47,10,surfactant,0.0083172945
47,11,contain,0.008297099
47,12,comprise,0.008287759
47,13,alcohol,0.008267243
47,14,component,0.007912301
47,15,copolymer,0.007595941
47,16,fatty,0.007278521
47,17,example,0.0071500144
47,18,base,0.006320562
47,19,have,0.006199154
48,0,min,0.073074915
48,1,hplc,0.04164395
48,2,example,0.02621078
48,3,method,0.025007445
48,4,column,0.023020633
48,5,phase,0.020813543
48,6,time,0.018703345
48,7,compound,0.015672565
48,8,acetonitrile,0.014986996
48,9,water,0.014912972
48,10,gradient,0.014470372
48,11,retention,0.01352049
48,12,tfa,0.013361947
48,13,flow,0.012740213
48,14,mobile,0.012121746
48,15,purity,0.011652981
48,16,acid,0.0105404975
48,17,nmr,0.01029077
48,18,minute,0.010074388
48,19,preparative,0.00968206
49,0,solution,0.043828905
49,1,buffer,0.029147424
49,2,protein,0.015478399
49,3,contain,0.014768576
49,4,add,0.012962329
49,5,column,0.012525135
49,6,fraction,0.011851842
49,7,example,0.010793365
49,8,sample,0.0103783235
49,9,phosphate,0.0103060715
49,10,concentration,0.010103025
49,11,volume,0.00976865
49,12,sodium,0.009432355
49,13,gel,0.00895655
49,14,nacl,0.008693731
49,15,water,0.007758465
49,16,minute,0.0068306862
49,17,obtain,0.0067236624
49,18,supernatant,0.006488038
49,19,remove,0.0063055675
50,0,antibody,0.094309516
50,1,bind,0.037063025
50,2,chain,0.02318169
50,3,human,0.022807479
50,4,antigen,0.01666623
50,5,region,0.014515663
50,6,fragment,0.012177852
50,7,monoclonal,0.012089707
50,8,heavy,0.011973131
50,9,cell,0.011207633
50,10,light,0.010800446
50,11,domain,0.010103759
50,12,variable,0.009710318
50,13,seq,0.009472443
50,14,mab,0.008388845
50,15,antibodie,0.008332928
50,16,sequence,0.00831567
50,17,binding,0.00828681
50,18,affinity,0.008014326
50,19,comprise,0.0072565465
51,0,nanoparticle,0.026418826
51,1,lipid,0.024742147
51,2,liposome,0.022123596
51,3,platelet,0.014445219
51,4,blood,0.011485682
51,5,example,0.011153675
51,6,size,0.010266864
51,7,albumin,0.009136681
51,8,particle,0.008349166
51,9,concentration,0.0077068
51,10,epo,0.0072523155
51,11,encapsulate,0.006820433
51,12,vesicle,0.006719426
51,13,paclitaxel,0.0066895927
51,14,ratio,0.0061970223
51,15,load,0.0059237587
